SampleId	gtdb_r207_NR	gtdb_r207_amoA	gtdb_r207_amoB	gtdb_r207_amoC	gtdb_r207_anfD	gtdb_r207_anfG	gtdb_r207_anfH	gtdb_r207_anfK	gtdb_r207_asnB	gtdb_r207_gdhA	gtdb_r207_glnA	gtdb_r207_gltB	gtdb_r207_gltD	gtdb_r207_gudB	gtdb_r207_hao	gtdb_r207_hcp	gtdb_r207_hzo	gtdb_r207_hzsA	gtdb_r207_hzsB	gtdb_r207_hzsC	gtdb_r207_napA	gtdb_r207_napB	gtdb_r207_narG_nxrA	gtdb_r207_narH_nxrB	gtdb_r207_narI	gtdb_r207_narJ	gtdb_r207_nasA	gtdb_r207_nasB	gtdb_r207_nifD	gtdb_r207_nifH	gtdb_r207_nifK	gtdb_r207_nirA	gtdb_r207_nirB	gtdb_r207_nirD	gtdb_r207_nirK	gtdb_r207_nirS	gtdb_r207_norB	gtdb_r207_nosZ	gtdb_r207_nrfA	gtdb_r207_nrfH	gtdb_r207_vnfD	gtdb_r207_vnfG	gtdb_r207_vnfH	gtdb_r207_vnfK	read_pair_count
61_SD7512_H113_pH5.5	1996	46	80	116	28	1	982	20	9864	2876	8059	13516	8392	4818	211	29	136	218	207	1810	4010	64	3088	1971	392	198	9506	4714	38	1071	31	2692	2735	111	1123	153	627	831	279	404	17	0	954	22	24753808
62_SD7513_H114_pH5.5	800	25	25	40	9	1	454	1	3877	1225	3521	6033	3788	1999	83	10	58	102	96	888	1811	29	1440	934	187	69	4010	2311	10	491	1	1189	1486	42	417	49	289	311	87	162	6	2	441	1	12039388
63_SD7514_H115_pH5.5	3223	142	162	171	16	0	1472	16	16201	4964	13868	22424	13434	8321	359	51	222	338	284	2799	6375	106	5524	3614	791	377	15581	7644	25	1616	26	4250	4297	187	1684	305	986	1530	609	676	12	3	1430	17	42227730
64_SD7515_H116_pH5.5	3422	85	102	123	17	2	1508	26	16631	5043	14276	24180	14535	8402	369	52	272	355	362	2958	6714	112	5138	3770	705	344	16236	7943	31	1655	33	4705	4434	180	1763	256	974	1375	471	656	13	0	1456	28	44937088
65_SD7516_H117_pH5.5	3938	79	114	169	30	1	1890	22	20557	5886	16683	27233	16227	10057	397	110	260	350	345	3473	7917	133	6060	4318	788	384	19468	9665	38	2050	40	5210	5616	245	1937	343	1249	1984	700	783	22	0	1839	27	54106774
66_SD7517_H119_pH5.5	4388	88	118	140	55	0	1929	21	21159	7071	18789	31074	18229	11923	455	65	345	426	430	3729	8277	127	7194	4822	929	447	20446	9991	71	2096	40	6143	5415	212	2109	285	1349	1494	451	812	38	0	1874	22	59611258
67_SD7518_H120_pH5.5	4178	87	145	170	51	0	2406	35	19061	5660	19812	33634	17862	9508	371	100	225	374	296	3553	9185	174	7713	4782	1211	621	21650	12703	72	2555	62	6167	7709	439	2231	338	1518	1812	504	648	32	0	2333	41	60410793
68_SD7519_S121	4482	68	69	113	30	0	1860	25	20705	6635	17974	30367	17239	11699	386	20	313	415	401	3450	8177	146	6457	4264	895	343	19990	10578	39	2006	35	5873	6186	279	1928	199	1104	1420	901	859	18	1	1832	25	58452978
69_SD7520_S122	2802	48	53	63	18	0	1317	22	13039	4324	11960	19887	11083	7442	303	46	238	284	289	2288	5589	75	4270	2964	632	243	12957	6604	26	1394	31	3789	3660	151	1422	125	818	852	334	464	11	0	1293	23	38648582
70_SD7521_S123	1410	25	19	23	3	0	676	2	5839	2265	5270	8193	5159	3752	129	6	111	148	143	1057	2518	32	2427	1370	340	133	5669	3118	4	726	5	1793	1647	66	653	49	318	384	86	201	1	0	647	2	14994537
71_SD7522_S124	2669	39	27	62	14	0	1268	25	11846	4169	10770	17481	10667	7062	237	17	186	274	274	2163	5009	66	4453	2988	633	262	11831	5984	18	1331	29	3684	3327	159	1160	89	637	772	281	435	7	0	1243	25	32164046
72_SD7523_S125	9607	111	126	206	68	0	3960	37	40011	13357	39934	67594	37451	25044	975	97	793	712	836	6622	16451	227	17293	10307	2392	958	42220	21491	81	4356	50	13239	11480	493	3992	286	2247	2418	538	1290	51	1	3888	38	122726151
73_SD7524_S126	1087	3	5	6	15	0	570	12	4795	1789	4147	7003	4527	2955	95	14	79	146	123	960	2192	35	1950	1124	268	108	5144	2860	22	625	14	1590	1581	70	473	21	295	355	64	181	9	0	574	12	13493034
