SampleId	gtdb_r207_ackA	gtdb_r207_acnA	gtdb_r207_acs	gtdb_r207_acsB	gtdb_r207_acsE	gtdb_r207_cdhA	gtdb_r207_cdhC	gtdb_r207_cooS	gtdb_r207_eno	gtdb_r207_fbaA	gtdb_r207_fbaB	gtdb_r207_fchA	gtdb_r207_fdhA	gtdb_r207_fhs	gtdb_r207_folD	gtdb_r207_ftr	gtdb_r207_fumA	gtdb_r207_fumB	gtdb_r207_fwdA_fmdA	gtdb_r207_gapA	gtdb_r207_gapN	gtdb_r207_gapor	gtdb_r207_glpX	gtdb_r207_gltA	gtdb_r207_gpmA	gtdb_r207_gpmI	gtdb_r207_hdrA	gtdb_r207_hdrD	gtdb_r207_hdrE	gtdb_r207_hmd	gtdb_r207_icd	gtdb_r207_idh3	gtdb_r207_korA	gtdb_r207_korB	gtdb_r207_korC	gtdb_r207_korD	gtdb_r207_mch	gtdb_r207_mcrA	gtdb_r207_mdh	gtdb_r207_mer	gtdb_r207_metF	gtdb_r207_mqo	gtdb_r207_mtaA	gtdb_r207_mtbA	gtdb_r207_mtbB	gtdb_r207_mtd	gtdb_r207_mtmB	gtdb_r207_mtrA	gtdb_r207_mtrH	gtdb_r207_mttB	gtdb_r207_mvhA_vhuA_vhcA	gtdb_r207_pfkC	gtdb_r207_pfp	gtdb_r207_pgi	gtdb_r207_pgk	gtdb_r207_pgl	gtdb_r207_pgm	gtdb_r207_ppdk	gtdb_r207_prkB	gtdb_r207_pta	gtdb_r207_rbcL	gtdb_r207_rbcS	gtdb_r207_rpe	gtdb_r207_rpiA	gtdb_r207_sdhA_frdA	gtdb_r207_sdhB_frdB	gtdb_r207_sdhC_frdC	gtdb_r207_sdhD_frdD	gtdb_r207_sucC	gtdb_r207_sucD	gtdb_r207_tktA	gtdb_r207_tpi	read_pair_count
45_SD7496_H095_pH6	9508	39149	57333	154	2695	453	101	89	22631	3469	5875	3034	13023	10251	13889	1342	4902	4244	3358	18303	50876	564	8546	20084	6565	13147	3959	3505	179	13	20802	29040	15983	11742	949	2279	1215	0	13902	8097	5786	868	209	554	2	2	8	31	2	205	1496	2	4668	6563	17540	5880	11214	33223	344	6433	796	145	11063	3842	38759	10440	1677	767	18849	15231	29492	10761	97566227
46_SD7497_H096_pH6	12966	51064	70496	46	2646	449	26	45	30042	4696	5433	2725	14755	11425	16915	2426	5785	5376	4795	23982	54836	558	11145	25618	8393	14090	4265	3755	202	10	25075	34097	19732	13862	1002	2421	1999	1	17051	8716	8043	1156	122	338	0	0	0	104	0	112	2164	10	5406	8953	22383	7749	15202	41251	721	7103	1359	249	14056	4492	45485	12555	1852	1091	24707	19212	38025	12805	146520826
47_SD7498_H097_pH6	8622	31731	45497	32	2069	350	22	45	18064	3365	2602	1825	10139	7411	11135	1466	3765	3401	3169	14173	40703	308	6958	15865	5697	9095	3520	2550	168	24	15692	20995	11361	8568	895	1747	1148	0	10600	5972	5784	812	99	294	0	1	2	52	1	98	1698	4	3627	6273	13861	4545	9798	24782	557	4741	1024	186	8965	3272	28706	8019	1414	961	15407	12115	25617	8682	74186950
48_SD7499_H098_pH6	10164	37909	54221	38	2258	393	20	46	22010	3891	3715	2337	12240	8399	13132	1808	4586	4176	3676	17801	47619	512	8412	19329	7010	10795	3978	3293	222	27	19706	26213	14002	10289	832	1898	1356	0	12961	7418	6706	918	135	303	1	0	3	77	1	134	1745	1	4367	7076	16752	5832	11878	30698	494	5856	1027	199	10520	3451	35867	9408	1545	961	18082	14490	29250	10291	91572050
49_SD7500_H099_pH6	2633	9401	14992	7	698	156	4	24	5320	949	1037	582	3500	2243	3369	524	1314	1169	1185	4284	13792	131	2075	5228	1840	2396	1429	980	70	18	5010	7018	3551	2759	256	675	405	1	3503	2381	1698	278	51	110	1	0	0	19	3	32	435	1	1249	1748	3956	1740	3056	7697	123	1598	255	49	2558	914	9653	2508	438	296	4628	3563	7578	2580	23024539
50_SD7501_H100_pH6	5909	20812	31045	16	1399	305	4	22	11905	2249	1556	1289	6819	4619	7380	1004	2723	2425	2034	9397	27685	216	4658	10723	3664	6427	2591	1831	121	18	10359	13965	7511	5498	602	1209	693	2	7169	4236	4047	520	63	192	4	3	0	30	4	44	1141	3	2468	4139	9120	3200	6726	16481	305	3140	691	99	5861	2359	19327	5387	951	631	10084	7901	17467	5794	45780001
51_SD7502_H101_pH5.5	3441	11721	17087	8	835	161	4	14	6328	996	719	696	3686	2673	4001	444	1607	1209	1139	5150	15880	110	2815	5660	1800	3980	1738	1182	78	13	5627	7784	3965	3122	468	796	340	2	3902	2419	2177	229	24	102	2	7	0	22	6	23	955	1	1204	2116	4816	1570	3699	8865	233	1556	450	100	3198	1289	10457	3133	590	363	5332	4357	9681	3133	23266406
52_SD7503_H102_pH5.5	7675	26242	36831	18	1642	304	15	46	15118	2387	1604	1684	7797	5784	8677	1066	3056	2730	2313	11524	32060	250	6139	12296	4349	8193	2952	2260	137	21	12167	16686	9374	7062	955	1513	886	0	8557	5251	4947	493	64	204	0	1	4	39	4	50	1714	2	2802	5068	10946	3554	8382	20230	340	3424	759	147	7045	2684	23241	6591	1206	774	12412	10030	21385	6919	57045468
53_SD7504_H103_pH5.5	7055	23769	33983	25	1553	271	17	62	13275	2486	1257	1204	7728	5210	8031	837	2905	2593	1961	10717	30390	136	5532	11210	3651	7868	2824	2020	154	19	11827	15411	8065	6314	827	1510	668	1	8163	4213	4513	491	51	174	1	7	0	42	2	58	1687	0	2449	4807	9901	3098	7957	17702	585	3182	992	243	6418	2857	21042	6878	1285	855	11262	9103	20172	6186	47746479
54_SD7505_H104_pH5.5	9230	29938	43711	27	1990	375	14	53	17133	3110	1886	1862	9993	6539	10481	1229	3870	3273	2639	13232	38332	269	7135	15082	4971	10093	3627	2756	159	18	15237	20832	10390	7873	1102	1923	958	0	10096	5571	5871	637	64	225	0	0	0	49	2	52	2266	5	3153	6099	13135	4258	10003	23453	547	4165	1049	214	8430	3556	27468	8126	1439	991	14586	11616	25144	8426	61969084
